unique_id,ds,cutoff,y,LGBMRegressor
hotel_49,2023-03-16,2023-03-10,0.8209606986899564,0.8364873247488246
hotel_49,2023-03-17,2023-03-10,0.8296943231441049,0.8569438439616176
hotel_49,2023-03-18,2023-03-10,0.8034934497816594,0.8694920588850406
hotel_49,2023-03-19,2023-03-10,0.8384279475982532,0.6687756017268174
hotel_49,2023-03-20,2023-03-10,0.8296943231441049,0.7509715317319632
hotel_49,2023-03-21,2023-03-10,0.834061135371179,0.7944976296045017
hotel_49,2023-03-22,2023-03-10,0.8296943231441049,0.8392354179797645
hotel_49,2023-03-23,2023-03-10,0.8296943231441049,0.8385112667794451
hotel_49,2023-03-24,2023-03-10,0.8209606986899564,0.8749308623499632
hotel_49,2023-03-25,2023-03-10,0.8122270742358079,0.8820440560214644
hotel_49,2023-03-26,2023-03-10,0.8122270742358079,0.6687712594504072
hotel_49,2023-03-27,2023-03-10,0.7947598253275109,0.7263747371573465
hotel_49,2023-03-28,2023-03-10,0.7903930131004366,0.7760896576323576
hotel_49,2023-03-29,2023-03-10,0.8209606986899564,0.8116562671125049
hotel_49,2023-03-30,2023-03-10,0.8253275109170306,0.8306802595077503
hotel_49,2023-03-31,2023-03-10,0.8253275109170306,0.8830488873348018
hotel_49,2023-04-01,2023-03-10,0.8209606986899564,0.8935635911181455
hotel_49,2023-04-02,2023-03-10,0.8253275109170306,0.6619472094647769
hotel_49,2023-04-03,2023-03-10,0.8209606986899564,0.7070863082931353
hotel_49,2023-04-04,2023-03-10,0.8165938864628821,0.7242402296147914
hotel_49,2023-04-05,2023-03-10,0.8209606986899564,0.7719304500411368
hotel_49,2023-04-06,2023-03-10,0.8253275109170306,0.8021123106159831
hotel_49,2023-04-07,2023-03-10,0.8253275109170306,0.8765162319624407
hotel_56,2023-03-11,2023-03-10,1.0,0.9932937241896486
hotel_56,2023-03-12,2023-03-10,0.8916666666666667,0.9027577574704133
hotel_56,2023-03-13,2023-03-10,1.0,0.943829982744661
hotel_56,2023-03-14,2023-03-10,1.0,0.9751572798971637
hotel_56,2023-03-15,2023-03-10,1.0,0.984811133743463
hotel_56,2023-03-16,2023-03-10,1.0,0.9865404353754731
hotel_56,2023-03-17,2023-03-10,1.0,0.9954880006442048
hotel_56,2023-03-18,2023-03-10,1.0,0.9952736132975596
hotel_56,2023-03-19,2023-03-10,1.0,0.9213698051656998
hotel_56,2023-03-20,2023-03-10,1.0,0.9136832931013598
hotel_56,2023-03-21,2023-03-10,1.0,0.9528660369126122
hotel_56,2023-03-22,2023-03-10,1.0,0.9720072806215486
hotel_56,2023-03-23,2023-03-10,1.0,0.9803984095053053
hotel_56,2023-03-24,2023-03-10,1.0,0.9937705565960137
hotel_56,2023-03-25,2023-03-10,1.0,0.9910776279215474
hotel_56,2023-03-26,2023-03-10,0.8833333333333333,0.9006870246113752
hotel_56,2023-03-27,2023-03-10,1.0,0.9205669126454927
hotel_56,2023-03-28,2023-03-10,0.9916666666666667,0.9646512093521614
hotel_56,2023-03-29,2023-03-10,1.0,0.9679457308508208
hotel_56,2023-03-30,2023-03-10,1.0,0.9730275824500644
hotel_56,2023-03-31,2023-03-10,1.0,0.9861364878933083
hotel_56,2023-04-01,2023-03-10,1.0,0.9904770053435722
hotel_56,2023-04-02,2023-03-10,1.0,0.9006709152861474
hotel_56,2023-04-03,2023-03-10,1.0,0.9351396800902602
hotel_56,2023-04-04,2023-03-10,1.0,0.9583470972100472
hotel_56,2023-04-05,2023-03-10,1.0,0.963827145980103
hotel_56,2023-04-06,2023-03-10,0.9666666666666667,0.9667767504526198
hotel_56,2023-04-07,2023-03-10,0.9833333333333333,0.9808336520391908
hotel_63,2023-03-11,2023-03-10,0.9955555555555555,0.9216107790160726
hotel_63,2023-03-12,2023-03-10,0.88,0.5935000540069812
hotel_63,2023-03-13,2023-03-10,0.9866666666666667,0.6648075545049287
hotel_63,2023-03-14,2023-03-10,0.9733333333333334,0.8163445363083002
hotel_63,2023-03-15,2023-03-10,0.9377777777777778,0.8775665747339636
hotel_63,2023-03-16,2023-03-10,0.8311111111111111,0.8702974352015003
hotel_63,2023-03-17,2023-03-10,0.8844444444444445,0.887243842798339
hotel_63,2023-03-18,2023-03-10,0.8755555555555555,0.9092206685876996
hotel_63,2023-03-19,2023-03-10,0.4088888888888889,0.4272746211141268
hotel_63,2023-03-20,2023-03-10,0.4888888888888889,0.5218086104018826
hotel_63,2023-03-21,2023-03-10,0.6266666666666667,0.6505543745455369
hotel_63,2023-03-22,2023-03-10,0.5333333333333333,0.7248502895587027
hotel_63,2023-03-23,2023-03-10,0.8666666666666667,0.7690191475565838
hotel_63,2023-03-24,2023-03-10,0.9377777777777778,0.8428126617103655
